slug,canonical_name,aliases,kind
united-healthcare,UnitedHealthcare,"UHC,United Healthcare",commercial
anthem,Anthem,"Anthem BCBS",commercial
cms-medicare-part-b,CMS Medicare Part B,"Medicare Part B,CMS",public
